agency_id,route_color,route_id,route_long_name,route_short_name,route_text_color,route_type
1,ff0000,10036,San Mateo,G45,ffffff,3
1,ff0000,10039,Museo Nacional,M47,ffffff,3
1,ff0000,10056,Museo Nacional,2,ffffff,3
1,ff0000,10067,Portal Sur,G47,ffffff,3
1,ff0000,10070,Portal 20 de Julio,2,ffffff,3
1,ff0000,10073,Portal Suba,C25,ffffff,3
1,ff0000,10074,Portal 20 de Julio,L25,ffffff,3
1,ff0000,10075,Portal Norte,B10,ffffff,3
1,ff0000,10076,Portal 80,D10,ffffff,3
1,ff0000,10082,Banderas,F23,ffffff,3
1,ff0000,11163,P. Américas,F23,ffffff,3
1,ff0000,11231,Universidades,1,ffffff,3
1,ff0000,11272,Calle 161,B50,ffffff,3
1,ff0000,11381,PORTAL TUNAL,H21,ffffff,3
1,ff0000,11382,PORTAL 80,D21,ffffff,3
1,ff0000,11453,Aguas,J70,ffffff,3
1,ff0000,11458,San Mateo,G43,ffffff,3
1,ff0000,11463,G. Santander,G12,ffffff,3
1,ff0000,11627,Polo FINCOMERCIO,7,ffffff,3
1,ff0000,11712,Aguas,J23,ffffff,3
1,ff0000,11724,Museo Nacional,M51,ffffff,3
1,ff0000,11725,PORTAL AMÉRICAS,F51,ffffff,3
1,ff0000,11747,Héroes,4,ffffff,3
1,ff0000,11851,Portal Eldorado,1,ffffff,3
1,ff0000,11853,Portal Sur,4,ffffff,3
1,ff0000,11856,Portal suba,7,ffffff,3
1,ff0000,11868,Portal Américas,F32,ffffff,3
1,ff0000,11870,Bicentenario,L41,ffffff,3
1,ff0000,11871,San Mateo,G42,ffffff,3
1,ff0000,11872,Portal Norte,B46,ffffff,3
1,ff0000,11873,Portal Américas,F60,ffffff,3
1,ff0000,11875,Portal Américas,F26,ffffff,3
1,ff0000,11876,P. Norte,B12,ffffff,3
1,ff0000,11878,San Mateo,G41,ffffff,3
1,ff0000,11879,7 de Agosto,E42,ffffff,3
1,ff0000,11885,Corferias,3,ffffff,3
1,ff0000,11886,Portal Tunal,3,ffffff,3
1,ff0000,11907,PORTAL SUR,G30,ffffff,3
1,ff0000,11908,PORTAL SUBA,C30,ffffff,3
1,ff0000,11909,Portal Suba,C17,ffffff,3
1,ff0000,11910,Portal Usme,H17,ffffff,3
1,ff0000,11913,UNIVERSIDADES,J73,ffffff,3
1,ff0000,11914,P.SUBA,C73,ffffff,3
1,ff0000,11926,Portal Eldorado,K43,ffffff,3
1,ff0000,11930,Portal 80,D55,ffffff,3
1,ff0000,11931,Portal Sur,G45,ffffff,3
1,ff0000,11932,P. Suba,C50,ffffff,3
1,ff0000,11997,San Mateo,G43,ffffff,3
1,ff0000,12010,Portal 80,6,ffffff,3
1,ff0000,12012,PORTAL 20 DE JULIO,L18,ffffff,3
1,ff0000,12030,P. 20 DE JULIO,L10,ffffff,3
1,ff0000,12047,P.SUBA,C19,ffffff,3
1,ff0000,12048,Banderas,F19,ffffff,3
1,ff0000,12066,Portal 80,D20,ffffff,3
1,ff0000,12067,Portal Usme,H20,ffffff,3
1,ff0000,12070,Aguas,J23,ffffff,3
1,ff0000,12075,Toberín,B55,ffffff,3
1,ff0000,12078,San Mateo,G46,ffffff,3
1,ff0000,12242,Universidades,6,ffffff,3
1,ff0000,12243,P. 80,D24,ffffff,3
1,ff0000,12428,Terminal,B16,ffffff,3
1,ff0000,12462,P. ELDORADO,K10,ffffff,3
1,ff0000,12467,Portal Suba,C15,ffffff,3
1,ff0000,12558,P. TUNAL,H13,ffffff,3
1,ff0000,12576,Universidades,J74,ffffff,3
1,ff0000,12612,Portal Norte,B28,ffffff,3
1,ff0000,12614,Polo,A61,ffffff,3
1,ff0000,12615,Portal Américas,F61,ffffff,3
1,ff0000,12616,Calle 76,A60,ffffff,3
1,ff0000,12621,Alcalá,B26,ffffff,3
1,ff0000,12622,NQS Calle 75,E32,ffffff,3
1,ff0000,12639,Av. Jiménez,5,ffffff,3
1,ff0000,12641,Guatoque,8,ffffff,3
1,ff0000,12644,Portal Tunal,H27,ffffff,3
1,ff0000,12646,P.USME,H75,ffffff,3
1,ff0000,12648,P.USME,H75,ffffff,3
1,ff0000,12652,PORTAL 20 DE JULIO,L18,ffffff,3
1,ff0000,12811,Portal Usme,H54,ffffff,3
1,ff0000,12813,Portal Tunal,H15,ffffff,3
1,ff0000,12814,Portal Norte,B13,ffffff,3
1,ff0000,12815,Portal Américas,F28,ffffff,3
1,ff0000,12816,Terminal,B11,ffffff,3
1,ff0000,12817,Portal Sur,G11,ffffff,3
1,ff0000,12818,Universidades,J24,ffffff,3
1,ff0000,12819,Alcalá,B23,ffffff,3
1,ff0000,12820,Portal Eldorado,K23,ffffff,3
1,ff0000,12821,Portal Usme,H76,ffffff,3
1,ff0000,12822,Universidades,J76,ffffff,3
1,ff0000,12823,CAD,E48,ffffff,3
1,ff0000,12824,San Mateo,G48,ffffff,3
1,ff0000,12825,Museo Nacional,M83,ffffff,3
1,ff0000,12826,Portal Usme,H83,ffffff,3
1,ff0000,12841,Portal Américas,5,ffffff,3
1,ff0000,12842,Portal Norte,B75,ffffff,3
1,ff0000,12843,PElDorado,K16,ffffff,3
1,ff0000,12871,Portal 80,D22,ffffff,3
1,ff0000,12872,Portal Sur,G22,ffffff,3
1,ff0000,12873,P. Sur,G12,ffffff,3
1,ff0000,12874,P. Norte,B12,ffffff,3
1,ff0000,12877,Portal Eldorado,K54,ffffff,3
1,ff0000,12878,Portal Eldorado,K54,ffffff,3
1,ff0000,12879,Toberín,B72,ffffff,3
1,ff0000,12881,P. Usme,H72,ffffff,3
1,ff0000,12928,Terminal,8,ffffff,3
1,ff0000,12931,Flores Temporal,A52,ffffff,3
1,ff0000,12932,Portal Sur,G52,ffffff,3
1,ff0000,12933,Portal Norte,B74,ffffff,3
1,ff0000,12970,Portal Norte,B27,ffffff,3
1,ff0000,12971,Terminal,B18,ffffff,3
2,00ff00,10895,Avenida Bosa ||  Portal Sur,10-1,ffffff,3
2,00ff00,10896,Portal Sur,10-1,ffffff,3
2,00ff00,10897,Avenida Bosa,10-1,ffffff,3
2,00ff00,10899,Bosa Centro ||  Portal Sur,10-2,ffffff,3
2,00ff00,10900,Portal Sur,10-2,ffffff,3
2,00ff00,10901,Bosa Centro,10-2,ffffff,3
2,00ff00,10903,Portal Sur,10-3,ffffff,3
2,00ff00,10906,Bosa Laureles ||  Portal Sur,10-4,ffffff,3
2,00ff00,10907,Bosa Laureles ||  Portal Sur,10-4,ffffff,3
2,00ff00,10908,Portal Sur,10-4,ffffff,3
2,00ff00,10909,Bosa Laureles,10-4,ffffff,3
2,00ff00,10911,Alameda ||  Portal Sur,10-3C,ffffff,3
2,00ff00,10912,Alameda,10-3C,ffffff,3
2,00ff00,10913,Kennedy Central ||  Banderas,8-1,ffffff,3
2,00ff00,10915,Kennedy Central,8-1,ffffff,3
2,00ff00,10917,Terminal Sur ||  Portal Sur,10-5,ffffff,3
2,00ff00,10918,Terminal Sur Extensión ||  Portal Sur Extensión,10-5,ffffff,3
2,00ff00,10919,Portal Sur,10-5,ffffff,3
2,00ff00,10922,Olarte ||  Portal Sur,10-8,ffffff,3
2,00ff00,10923,Biblioteca Tintal ||    Banderas,8-5,ffffff,3
2,00ff00,10927,Candelaria ||  Portal Tunal,6-1,ffffff,3
2,00ff00,10930,Jardines ||  Portal Norte,2-2,ffffff,3
2,00ff00,10932,Jardines,2-2,ffffff,3
2,00ff00,10936,Álamos ||  Portal El Dorado,16-3,ffffff,3
2,00ff00,10937,Bosa La Libertad ||  Portal Américas,9-3,ffffff,3
2,00ff00,10938,Juan Rey ||  Portal 20 de Julio,13-6,ffffff,3
2,00ff00,10939,Portal Américas,9-3,ffffff,3
2,00ff00,10940,Bosa La Libertad,9-3,ffffff,3
2,00ff00,10941,Álamos ||  153A06 Centro Industrial La Rabida,16-3,ffffff,3
2,00ff00,10945,El Muelle ||  Portal El Dorado,16-4,ffffff,3
2,00ff00,10947,Kennedy Hospital ||  Banderas,8-2,ffffff,3
2,00ff00,10948,Casa Linda ||  Portal Tunal,6-1C,ffffff,3
2,00ff00,10949,Banderas,8-2,ffffff,3
2,00ff00,10950,Kennedy Hospital,8-2,ffffff,3
2,00ff00,10951,El Muelle ||  202A05 Portal de Santa Inés,16-4,ffffff,3
2,00ff00,10956,Portal Sur,CSM,ffffff,3
2,00ff00,10957,San Mateo,CSM,ffffff,3
2,00ff00,10958,San Francisco ||  Portal Tunal,6-2,ffffff,3
2,00ff00,10960,Tierra Grata ||  Portal El Dorado,16-1,ffffff,3
2,00ff00,10963,Tierra Grata ||  201A05 Centro Artesanal El Dorado,16-1,ffffff,3
2,00ff00,10965,Aeropuerto,16-14,ffffff,3
2,00ff00,10968,Aeropuerto,16-14,ffffff,3
2,00ff00,10970,Juan Rey ||  Portal 20 de Julio,13-6,ffffff,3
2,00ff00,10971,Aeropuerto ||  Portal El Dorado,16-14,ffffff,3
2,00ff00,10972,Tesoro ||  Portal Tunal,6-5,ffffff,3
2,00ff00,10973,Estrella del Sur ||  Portal Tunal,6-5,ffffff,3
2,00ff00,10974,Arabia ||  Arabia,6-5,ffffff,3
2,00ff00,10975,Arabia,6-5,ffffff,3
2,00ff00,10976,Portal Tunal,6-5,ffffff,3
2,00ff00,10979,Corabastos ||  Banderas,8-4,ffffff,3
2,00ff00,10980,Banderas,8-4,ffffff,3
